     5
  3   1.057   -.489    .215    .140
  4    .102   -.209   -.758    .140
  5  41.482 -19.792   8.757    .106
  6 -40.233  19.182  -8.896   -.106
     6
  1   2.935   1.008 -10.189    .140
  2   -.374    .428   1.086    .140
  3   -.919   -.326   3.160    .140
  4   -.264    .177    .861    .140
  5   -.155   -.047    .517    .140
  6    .146    .045   -.504    .140
     6
  1  -6.734  -1.577   -.999    .000
  2   -.670  -2.856  -2.056    .140
  3    .382    .914    .644    .000
  4    .275   -.010    .673    .140
  5   -.079   -.339   -.244    .140
  6  -7.041 -32.183 -22.762    .106
     3
  1   -.306   -.958  -3.783    .140
  2    .236    .820   3.195    .140
  3    .012    .138    .508    .140
     7
  1  -4.068    .156    .083    .140
  2   2.949   -.088   -.120    .140
  3   -.156   1.297   -.903    .140
  4    .386    .080   1.242    .140
  5    .359   -.015   -.023    .140
